@relation evaluateJoggingWalkingDrinking

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Jogging, Walking, Drinking}

@data
1.195393771, 0.68617588, Drinking
0.998317994, 0.718473364, Drinking
0.815290913, 0.756834631, Drinking
0.961303511, 1.069632493, Drinking
0.881708687, 0.794894089, Drinking
1.049409316, 0.612201995, Drinking
0.952397997, 0.514085443, Drinking
0.803047899, 0.669012928, Drinking
1.024702696, 0.753635768, Drinking
0.783922648, 0.576479133, Drinking
0.659680122, 0.617289181, Drinking
0.599952729, 0.476488431, Drinking
0.63955166, 0.481467658, Drinking
0.576004781, 0.456997133, Drinking
0.924893194, 0.970332865, Drinking
0.861841343, 0.860590611, Drinking
0.85304436, 0.732247371, Drinking
0.86087303, 0.792562727, Drinking
0.550510889, 0.510365991, Drinking
0.564081209, 0.378452184, Drinking
0.616254311, 0.508434539, Drinking
0.761520621, 0.477397223, Drinking
0.711684378, 0.638072216, Drinking
0.508671593, 0.529896687, Drinking
0.676818464, 0.645046101, Drinking
0.566539499, 0.593058948, Drinking
0.696888625, 0.684962321, Drinking
0.538479726, 0.718664746, Drinking
0.721089181, 0.756069233, Drinking
0.5857031, 0.710215932, Drinking
0.804205859, 0.772019673, Drinking
0.751067787, 0.808996575, Drinking
0.863107187, 0.785399909, Drinking
0.673591946, 0.820004841, Drinking
0.565064676, 0.638285496, Drinking
0.889067511, 0.886696074, Drinking
0.578026214, 0.716939113, Drinking
0.638888669, 0.817130669, Drinking
0.707594232, 0.709281899, Drinking
0.736706281, 0.764540566, Drinking
0.678961535, 0.756804294, Drinking
0.717528161, 0.701089899, Drinking
0.793570913, 0.725405125, Drinking
0.672174349, 0.720769232, Drinking
0.746764562, 0.729494834, Drinking
0.724862861, 0.756453175, Drinking
0.762881484, 0.864328118, Drinking
0.66917412, 0.743172046, Drinking
0.823041071, 0.866923865, Drinking
0.945502691, 0.90781164, Drinking
0.775577577, 0.835558618, Drinking
1.017697611, 0.961093004, Drinking
0.849948586, 0.82468358, Drinking
0.874549203, 1.049695156, Drinking
0.614110814, 0.605478484, Drinking
0.528112471, 0.568316666, Drinking
0.494267593, 0.54117418, Drinking
0.557524311, 0.524078484, Drinking
0.577153442, 0.601913615, Drinking
0.561158714, 0.598631806, Drinking
0.630830177, 0.731292058, Drinking
0.653103038, 0.659017023, Drinking
0.70689187, 0.714394034, Drinking
0.697504581, 0.78052673, Drinking
0.707497168, 0.769545668, Drinking
0.685563956, 0.75149827, Drinking
0.576904612, 0.732184815, Drinking
0.562188641, 0.609277822, Drinking
0.555429524, 0.572362231, Drinking
0.541898893, 0.665154427, Drinking
0.541002342, 0.588696394, Drinking
0.600834824, 0.634412921, Drinking
0.5175355, 0.575389169, Drinking
0.555688035, 0.673254318, Drinking
0.563624747, 0.520983094, Drinking
0.551201688, 0.655301323, Drinking
0.529523731, 0.555237374, Drinking
0.610719888, 0.703244887, Drinking
0.778713581, 0.807749084, Drinking
0.706707157, 0.859391949, Drinking
0.784682833, 0.849404752, Drinking
0.770724152, 0.789182458, Drinking
0.763123785, 0.801218473, Drinking
0.81952291, 1.011191988, Drinking
0.548980909, 0.633405356, Drinking
0.621108645, 0.610742272, Drinking
0.61151729, 0.661683046, Drinking
0.693442922, 0.652602814, Drinking
0.662832161, 0.724642548, Drinking
0.684235371, 0.774684446, Drinking
